Generation	Smiles	Inchi
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ
G2	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX
G2	C(C(CO)O)O	PEDCQBHIVMGVHV
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI
G2	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP
G2	C(C(CO)(CO)O)=O	OUEKYUKJSLEOIU
G2	C(C(CO)(C(CO)O)O)=O	XUSNIIKGKKSRDZ
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF
G3	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI
G3	C(CC(C(C(CO)=O)O)O)=O	DPJVCISCLBZLDP
G3	C(C(C=O)C(CO)(CO)O)=O	HWDQZMAZCTUFGO
G3	C(C(C)(C(C(CO)=O)O)O)=O	HCDKHGUYCIRFGC
G3	C(C)(C(C(C(CO)=O)O)O)=O	KFHNTUHHTDAEOF
G3	C(C(CC(CO)(CO)O)=O)=O	GBYNVYGBOCCFCK
G3	C(CO)(C(C(C)O)O)=O	MRKRITSFTIHTAQ
G3	C(CC(CO)(CO)O)=O	RLJYTLNHFAJLAE
G3	C(C(C(C)O)O)(C(CO)O)=O	IWASYLACXSGJPG
G3	C(CC(CO)(C(CO)O)O)=O	IDBTYBMNHBMAOU
G3	C(CC(C(CO)(CO)O)O)=O	HQMRFNOKWQUHQC
G3	C(C(C=O)C(C(CO)O)O)=O	AKTMIDGTSNJTSP
G3	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN
G3	C(CC(C(CO)O)O)=O	ASJSAQIRZKANQN
G3	C(CC(C(C(CO)O)O)O)=O	VRYALKFFQXWPIH
G3	C(C(CO)O)(C(CO)O)=O	WXYXERHRDKEISL
G3	C(C(C(CO)(CO)O)O)=O	AVGPOAXYRRIZMM
G3	C(CO)(C(C(CO)O)O)=O	ZAQJHHRNXZUBTE
G3	C(C(CCO)(C(C=O)O)O)=O	FAGPJBHKKUOQAR
G3	C(C(C(C=O)O)O)(CCO)=O	KTQQRSZBGCOSES
G3	C(C(C(CO)C(CO)O)=O)=O	JOEMRRCMXVASPX
G3	C(CC(C(C(C=O)O)O)O)=O	DRFVLWXFACEMHK
G3	C(C(C(CC(C=O)O)O)O)=O	ZAZMXMODCOTURY
G3	C(C(C(CO)O)C(C=O)O)=O	HIPAGLNATSXMFT
G3	C(C(C(CC(CO)=O)O)O)=O	ZNSXGNZNZVWMBM
G3	C(CC(CO)(C(C=O)O)O)=O	IEHDXMKHICIRFU
G3	C(C(C(CO)=O)C(CO)O)=O	SSUDYWNAIOLNKR
G3	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV
G3	C(C(C(C(C(C)=O)O)O)O)=O	MKKWPESNDMZCAX
G3	C(C(C(C)(C(C=O)O)O)O)=O	LTIXNERYDWMFRC
G3	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG
G3	C(C(CCO)O)(O)=O	UFYGCFHQAXXBCF
G3	C(C(C(C(CO)O)O)=O)=O	VDSAQEDKJUSZPS
G3	C(C(C(C(CO)O)O)O)O	HEBKCHPVOIAQTA
G3	C(C(CO)(CO)O)O	HXYJZJOQRLOUPP
G3	C(C(CO)(C(CO)O)O)O	SDXWEZQDLHNYFR
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA
G3	C(CO)(C(CO)(C(C)O)O)=O	CLUAZGGJJOMMPW
G3	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN
G3	C(C(CO)(C(C=O)O)O)=O	YAVWISVERGTOHY
G3	C(C(CO)(C(CC=O)O)O)=O	KMZKNPYVLFCBJR
G3	C(C(CO)(C(C=O)(C)O)O)=O	LLKJMSOIEJAFOF
G3	C(C(CO)(C(C(C)=O)O)O)=O	KSPZMTWVXVIPRP
G3	C(C(CO)(C(C)O)O)=O	JQKDKERJPQSZLX
G3	C(C(C(CO)O)(C(C)O)O)=O	DXBKAMXGCDVWGR
G3	C(CO)(C(CO)(CO)O)=O	KNWXMEXZFWGIPP
G3	C(C(C(C)=O)(C(CO)O)O)=O	UZMKAOBHDMJGHD
G3	C(C(C(C=O)O)O)(O)=O	JYPFTOPPKDHQEW
G3	C(CC(C(C(O)=O)O)O)=O	WNQQMTOQQGYXCH
G3	C(C(C)(C(C(O)=O)O)O)=O	AZFXWNDHXWNFRE
G3	C(C(C(C(C)=O)O)O)(O)=O	HDGNQJMIIPXNJZ
G3	C(C(C(C)O)O)(O)=O	LOUGYXZSURQALL
G3	C(C(C(CO)O)(CC=O)O)=O	TXIVWMLJMZFCNJ
G3	C(CC(C=O)O)(C(CO)O)=O	LVYQXQPAYHNLQF
G3	C(C(CO)(CC(CO)=O)O)=O	RHBBDYUCVCIMPI
G3	C(C(C(CCO)=O)(CO)O)=O	XXCROCVPGJNKKK
G3	C(C(C(C(CO)O)=O)CO)=O	VSCZDXPKQZQUMT
G3	C(C(CC(CO)=O)O)(O)=O	YVXXPGROVYTBAL
G3	C(C(C(CCO)=O)O)(O)=O	GEKHDLNOKHNDDY
G3	C(CC(C(CO)O)=O)(O)=O	FNWZJGILAMUKQY
G3	C(C(CC(CO)O)=O)(O)=O	UQIGQRSJIKIPKZ
G3	C(C1C(C(C(O)O1)O)O)O	HMFHBZSHGGEWLO
G3	C1C(C(C(O)O1)(CO)O)O	BFZQQKBQRCDWST
G3	C1C(C(C(C(O)O1)O)O)O	SRBFZHDQGSBBOR
G3	C1(C(C(C(CO)O1)O)O)=O	CUOKHACJLGPRHD
G3	C1(C(C(C(CO1)O)O)O)=O	XXBSUZSONOQQGK
